query_type,time,is_average
GetAverage,460427690,no
GetAverage,322664725,no
GetAverage,398262457,no
GetAverage,105537629,no
GetAverage,267990730,no
GetAverage,155976857,no
GetAverage,109297779,no
GetAverage,382055959,no
GetAverage,142138601,no
GetAverage,193915201,no
GetAverage,303378017,no
GetAverage,238184461,no
GetAverage,273576214,no
GetAverage,395553327,no
GetAverage,238578481,no
GetAverage,148304147,no
GetAverage,92411496,no
GetAverage,315105314,no
GetAverage,187931451,no
GetAverage,193729249,no
GetAverage,246759365,no
GetAverage,304535686,no
GetAverage,141067170,no
GetAverage,344872322,no
GetAverage,228152479,no
GetAverage,204744055,no
GetAverage,978196831,no
GetAverage,802847048,no
GetAverage,281715779,no
GetAverage,322181720,no
GetAverage,251019508,no
GetAverage,312705890,no
GetAverage,201944485,no
GetAverage,441286692,no
GetAverage,765803637,no
GetAverage,101017517,no
GetAverage,163060860,no
GetAverage,103887824,no
GetAverage,111827289,no
GetAverage,143525667,no
GetAverage,362221262,no
GetAverage,468550741,no
GetAverage,367356046,no
GetAverage,877047398,no
GetAverage,214772346,no
GetAverage,502443915,no
GetAverage,82057566,no
GetAverage,355524443,no
GetAverage,520786646,no
GetAverage,227607601,no
GetAverage,307090791,yes
Select,196898125,no
Select,406348860,no
Select,488313184,no
Select,27934947,no
Select,421291048,no
Select,442932950,no
Select,578681319,no
Select,645332013,no
Select,540628538,no
Select,231945190,no
Select,249538008,no
Select,484448107,no
Select,394350954,no
Select,202782095,no
Select,442859032,no
Select,413820282,no
Select,641734439,no
Select,127305541,no
Select,543607305,no
Select,181142672,no
Select,344383646,no
Select,224703289,no
Select,380919974,no
Select,396040895,no
Select,321504489,no
Select,464960456,no
Select,387563033,no
Select,260651011,no
Select,219070715,no
Select,342375946,no
Select,339563488,no
Select,98130750,no
Select,243636598,no
Select,326698290,no
Select,137347141,no
Select,495013372,no
Select,745423946,no
Select,611622137,no
Select,313709836,no
Select,376014557,no
Select,397446506,no
Select,81967265,no
Select,126235266,no
Select,145408167,no
Select,251619050,no
Select,205014052,no
Select,137210439,no
Select,257408298,no
Select,270172920,no
Select,524954249,no
Select,341773287,yes
Write,72582902,no
Write,33302918,no
Write,54179320,no
Write,59651456,no
Write,78535950,no
Write,49741919,no
Write,55562741,no
Write,46057371,no
Write,62020119,no
Write,102937436,no
Write,77579370,no
Write,55668623,no
Write,25387091,no
Write,42007463,no
Write,46734333,no
Write,28624951,no
Write,25417727,no
Write,31889042,no
Write,11470380,no
Write,32116725,no
Write,23030394,no
Write,31739081,no
Write,20609627,no
Write,19825482,no
Write,22169834,no
Write,43167100,no
Write,12893711,no
Write,23182888,no
Write,16223347,no
Write,16172059,no
Write,31607000,no
Write,29874849,no
Write,15007652,no
Write,34923766,no
Write,19733149,no
Write,21943241,no
Write,22821093,no
Write,42272849,no
Write,42372382,no
Write,54861912,no
Write,37798140,no
Write,25405948,no
Write,21749883,no
Write,14544550,no
Write,17234771,no
Write,14397518,no
Write,21939936,no
Write,14934684,no
Write,28575242,no
Write,26436045,no
Write,35178319,yes
