mean_time,time,is_average
1.0,1330659836,no
1.0,133407762,no
1.0,103939696,no
1.0,2482268630,no
1.0,3253620574,no
1.0,1868141397,no
1.0,1254928099,no
1.0,2861019386,no
1.0,3493291023,no
1.0,2507145755,no
1.0,3130205420,no
1.0,314814809,no
1.0,2099487481,no
1.0,510831956,no
1.0,1054223727,no
1.0,2456343144,no
1.0,2766940003,no
1.0,3349749618,no
1.0,960093996,no
1.0,1498656131,no
1.0,1354550043,no
1.0,2127610991,no
1.0,2898449321,no
1.0,2991433244,no
1.0,705960861,no
1.0,2573293317,no
1.0,3037364703,no
1.0,2927729728,no
1.0,1093255719,no
1.0,1831176210,no
1.0,2128648874,no
1.0,497308956,no
1.0,2674793186,no
1.0,2476812495,no
1.0,1820528871,no
1.0,1018344253,no
1.0,635344223,no
1.0,1500370547,no
1.0,1002213812,no
1.0,2023364763,no
1.0,1364206826,no
1.0,965114243,no
1.0,3422491332,no
1.0,895602722,no
1.0,2749864107,no
1.0,2640047086,no
1.0,553068059,no
1.0,1424200406,no
1.0,1813555936,no
1.0,1480891903,no
1.0,1841147303,yes
50.0,366241539,no
50.0,8917367,no
50.0,197737748,no
50.0,583369191,no
50.0,874929486,no
50.0,1270196091,no
50.0,214293813,no
50.0,407684286,no
50.0,817674272,no
50.0,142283664,no
50.0,327184291,no
50.0,2986925454,no
50.0,1988321387,no
50.0,447641100,no
50.0,1598015357,no
50.0,2235342349,no
50.0,2535796783,no
50.0,218143598,no
50.0,665463283,no
50.0,344486597,no
50.0,1582935046,no
50.0,937136834,no
50.0,2092803362,no
50.0,871115253,no
50.0,1774748031,no
50.0,2344102104,no
50.0,1054190487,no
50.0,926890522,no
50.0,2816543142,no
50.0,226587917,no
50.0,2587754978,no
50.0,1339342616,no
50.0,1320922653,no
50.0,324955619,no
50.0,2526756643,no
50.0,884465220,no
50.0,1729091705,no
50.0,631274259,no
50.0,2698696939,no
50.0,282800296,no
50.0,2605566166,no
50.0,1893596644,no
50.0,647453361,no
50.0,2058342202,no
50.0,1543945288,no
50.0,761088298,no
50.0,1225021589,no
50.0,203807209,no
50.0,1801604618,no
50.0,2193897682,no
50.0,1242361686,yes
100.0,82649585,no
100.0,149303419,no
100.0,447023965,no
100.0,500764216,no
100.0,233016970,no
100.0,670882054,no
100.0,654579849,no
100.0,292480806,no
100.0,2388499701,no
100.0,773227563,no
100.0,568749495,no
100.0,3620845839,no
100.0,90134845,no
100.0,2161618837,no
100.0,905614941,no
100.0,1293933129,no
100.0,994261961,no
100.0,644546614,no
100.0,321738355,no
100.0,1107710380,no
100.0,461480398,no
100.0,905851636,no
100.0,1682488297,no
100.0,414090434,no
100.0,1301340467,no
100.0,829050548,no
100.0,1064592084,no
100.0,1511804898,no
100.0,2207722058,no
100.0,1004500100,no
100.0,151675332,no
100.0,1551487064,no
100.0,2144591922,no
100.0,1875000329,no
100.0,2021213856,no
100.0,981499567,no
100.0,293763878,no
100.0,1441809838,no
100.0,2005192989,no
100.0,1087199282,no
100.0,1095990366,no
100.0,1374068563,no
100.0,115296376,no
100.0,1079428487,no
100.0,1566667393,no
100.0,1692842904,no
100.0,951528425,no
100.0,1478430996,no
100.0,550308511,no
100.0,1097590539,no
100.0,1076801801,yes
200.0,208374824,no
200.0,566637122,no
200.0,173628118,no
200.0,181888133,no
200.0,485814626,no
200.0,316031861,no
200.0,350641671,no
200.0,335532232,no
200.0,539575483,no
200.0,1061042395,no
200.0,382731660,no
200.0,384801480,no
200.0,337097272,no
200.0,379964173,no
200.0,176884587,no
200.0,173325074,no
200.0,326025689,no
200.0,334319586,no
200.0,319890081,no
200.0,503818079,no
200.0,158953318,no
200.0,315486690,no
200.0,496529872,no
200.0,502064881,no
200.0,326996001,no
200.0,316350247,no
