mean_time,time,is_average
1.0,90498057,no
1.0,84259503,no
1.0,87748508,no
1.0,97330478,no
1.0,76020965,no
1.0,82246942,no
1.0,70598307,no
1.0,65040056,no
1.0,64935402,no
1.0,63765564,no
1.0,77275509,no
1.0,64988772,no
1.0,71125509,no
1.0,84517172,no
1.0,66060416,no
1.0,76327091,no
1.0,64453985,no
1.0,69565186,no
1.0,62282186,no
1.0,58198486,no
1.0,62648128,no
1.0,69964604,no
1.0,428024521,no
1.0,124889156,no
1.0,77635540,no
1.0,68278426,no
1.0,435293534,no
1.0,177621144,no
1.0,60958502,no
1.0,251874413,no
1.0,65340116,no
1.0,60776528,no
1.0,391899655,no
1.0,233283601,no
1.0,90530225,no
1.0,103208452,no
1.0,60499671,no
1.0,60095740,no
1.0,74864276,no
1.0,73276840,no
1.0,184934631,no
1.0,194951440,no
1.0,224864766,no
1.0,87586083,no
1.0,344423156,no
1.0,59339890,no
1.0,218724457,no
1.0,113597829,no
1.0,266919418,no
1.0,369568172,no
1.0,54583146,no
1.0,100082139,no
1.0,46671900,no
1.0,215501267,no
1.0,85356506,no
1.0,47751479,no
1.0,262500534,no
1.0,78460294,no
1.0,264845751,no
1.0,307320916,no
1.0,278721843,no
1.0,223149514,no
1.0,151733363,no
1.0,36201103,no
1.0,134389299,no
1.0,125904994,no
1.0,79255465,no
1.0,304438631,no
1.0,41883568,no
1.0,268236961,no
1.0,279093077,no
1.0,212489587,no
1.0,326213618,no
1.0,130475290,no
1.0,39683421,no
1.0,324378865,no
1.0,314507209,no
1.0,241787606,no
1.0,172161220,no
1.0,97167528,no
1.0,286425000,no
1.0,256913895,no
1.0,187668256,no
1.0,268513904,no
1.0,171198051,no
1.0,101577884,no
1.0,77175918,no
1.0,300302859,no
1.0,125830265,no
1.0,214307618,no
1.0,206102533,no
1.0,152131287,no
1.0,89465477,no
1.0,209301477,no
1.0,189988364,no
1.0,21522099,no
1.0,43262643,no
1.0,23946626,no
1.0,121990406,no
1.0,65135862,no
1.0,148708175,yes
50.0,14668084,no
50.0,14640343,no
50.0,22296946,no
50.0,17530764,no
50.0,37074645,no
50.0,36814478,no
50.0,34386511,no
50.0,19874513,no
50.0,13596741,no
50.0,20574756,no
50.0,17042505,no
50.0,16738814,no
50.0,22844260,no
50.0,16506308,no
50.0,12407406,no
50.0,19821379,no
50.0,29814647,no
50.0,10818608,no
50.0,11086119,no
50.0,19604356,no
50.0,20175330,no
50.0,16923345,no
50.0,20920613,no
50.0,18989891,no
50.0,16594106,no
50.0,22233140,no
50.0,20855259,no
50.0,17816833,no
50.0,17330038,no
50.0,32082055,no
50.0,180360659,no
50.0,16062791,no
50.0,33629770,no
50.0,33729073,no
50.0,32201019,no
50.0,18229795,no
50.0,17688923,no
50.0,19869102,no
50.0,22775510,no
50.0,35113254,no
50.0,13521977,no
50.0,21159221,no
50.0,30827365,no
50.0,31724529,no
50.0,31594597,no
50.0,18131664,no
50.0,21113295,no
50.0,16603158,no
50.0,17518405,no
50.0,20841869,no
50.0,28359791,no
50.0,19256118,no
50.0,27467290,no
50.0,16246620,no
50.0,17954563,no
50.0,34744178,no
50.0,20001657,no
50.0,13280530,no
50.0,15531907,no
50.0,26005079,no
50.0,32000456,no
50.0,17671455,no
50.0,21306343,no
50.0,41467378,no
50.0,33470168,no
50.0,19112834,no
50.0,18010269,no
50.0,11844909,no
50.0,15626929,no
50.0,14173074,no
50.0,13872479,no
50.0,12709741,no
50.0,15671012,no
50.0,12277238,no
50.0,11285901,no
50.0,14278421,no
50.0,17088767,no
50.0,12892246,no
50.0,12913111,no
50.0,11271941,no
50.0,18828710,no
50.0,27423699,no
50.0,13497791,no
50.0,15122840,no
50.0,19540696,no
50.0,17437718,no
50.0,18087330,no
50.0,27052517,no
50.0,27726922,no
50.0,14566734,no
50.0,16756494,no
50.0,13868504,no
50.0,15830179,no
50.0,11658066,no
50.0,11794449,no
50.0,15459782,no
50.0,15124881,no
50.0,12580375,no
50.0,11771661,no
50.0,11711057,no
50.0,21583915,yes
100.0,13363570,no
100.0,16208709,no
100.0,20696177,no
100.0,16572278,no
100.0,20314575,no
100.0,12998923,no
100.0,26828515,no
100.0,14740148,no
100.0,19001625,no
100.0,17523378,no
100.0,13027247,no
100.0,12390011,no
100.0,14483253,no
100.0,14223320,no
100.0,26751054,no
100.0,34122265,no
