n_threads,time,is_average
7,184850176,no
7,207251530,no
7,214874601,no
7,163253403,no
7,52993315,no
7,242829017,no
7,202162496,no
7,89634582,no
7,252779287,no
7,124624724,no
7,264095884,no
7,143887491,no
7,265223212,no
7,127617454,no
7,99716878,no
7,35233006,no
7,141723040,no
7,233771157,no
7,291697119,no
7,30462290,no
7,36934844,no
7,230878040,no
7,58346967,no
7,40486608,no
7,75717157,no
7,253031467,no
7,138203018,no
7,178358539,no
7,114130414,no
7,259601600,no
7,105331549,no
7,277295848,no
7,103707045,no
7,165415490,no
7,59636622,no
7,213108506,no
7,85999649,no
7,168631503,no
7,159243452,no
7,212674175,no
7,221799619,no
7,292698467,no
7,70172762,no
7,51705098,no
7,91295201,no
7,222362016,no
7,265007152,no
7,82791363,no
7,141759136,no
7,239895211,no
7,207183147,no
7,117523788,no
7,218012759,no
7,122908078,no
7,4732149,no
7,53825378,no
7,285697736,no
7,252709228,no
7,313039708,no
7,220964945,no
7,86270057,no
7,51588240,no
7,71190629,no
7,49971473,no
7,268719113,no
7,21487165,no
7,17414070,no
7,50363639,no
7,63760962,no
7,16844335,no
7,324298843,no
7,113562768,no
7,358259907,no
7,261367554,no
7,35235435,no
7,203667405,no
7,218717444,no
7,203158588,no
7,43700169,no
7,35508309,no
7,248212693,no
7,220807171,no
7,104082648,no
7,57987917,no
7,374179405,no
7,276565486,no
7,191077476,no
7,199744919,no
7,235776925,no
7,297755320,no
7,108318970,no
7,147855964,no
7,152333579,no
7,184103858,no
7,209795113,no
7,164005696,no
7,71719410,no
7,234548100,no
7,39415460,no
7,32835098,no
7,158277034,yes
